Any,nomCom,F_MORTS
2021,Maresme,10
2021,Moianès,2
2021,Montsià,2
2021,Noguera,5
2021,Osona,6
2021,Pallars Jussà,2
2021,Pallars Sobirà,0
2021,Pla d'Urgell,3
2021,Pla de l'Estany,2
2021,Priorat,1
2021,Ribera d'Ebre,1
2021,Ripollès,1
2021,Segarra,3
2021,Segrià,14
2021,Selva,6
2021,Solsonès,1
2021,Tarragonès,8
2021,Terra Alta,1
2021,Urgell,4
2021,Val d'Aran,0
2021,Vallès Occidental,8
2021,Vallès Oriental,11
